donor_id,wealth_rating,property_value_estimate,estimated_income_band,philanthropic_capacity_score,screening_date,data_source
5437,C,270987,"£40,000-£75,000",64,2024-02-08,External Screening
4955,E,125024,"<£25,000",13,2024-04-09,External Screening
6502,D,186023,"£25,000-£40,000",32,2024-04-24,External Screening
6791,C,300274,"£40,000-£75,000",65,2024-04-11,External Screening
3859,B,723194,"£75,000-£150,000",68,2024-01-14,External Screening
2470,C,387090,"£40,000-£75,000",47,2024-01-22,External Screening
7139,A,1901062,"£150,000+",75,2024-02-02,External Screening
4690,E,92693,"<£25,000",23,2024-01-01,External Screening
3069,C,285689,"£40,000-£75,000",62,2024-01-24,External Screening
1846,C,268138,"£40,000-£75,000",64,2024-03-28,External Screening
4872,C,326011,"£40,000-£75,000",56,2024-05-20,External Screening
4412,D,241754,"£25,000-£40,000",29,2024-06-17,External Screening
4397,A,1854172,"£150,000+",76,2024-06-25,External Screening
6463,D,191672,"£25,000-£40,000",40,2024-06-25,External Screening
2667,C,361909,"£40,000-£75,000",61,2024-01-15,External Screening
3951,C,287508,"£40,000-£75,000",56,2024-01-09,External Screening
6112,D,169410,"£25,000-£40,000",44,2024-01-04,External Screening
5816,B,531164,"£75,000-£150,000",66,2024-02-04,External Screening
1468,C,398216,"£40,000-£75,000",48,2024-01-19,External Screening
3726,E,78764,"<£25,000",23,2024-06-13,External Screening
6122,E,146206,"<£25,000",28,2024-01-26,External Screening
4585,D,237327,"£25,000-£40,000",29,2024-03-19,External Screening
6730,D,206771,"£25,000-£40,000",25,2024-01-27,External Screening
5061,B,492551,"£75,000-£150,000",78,2024-01-25,External Screening
6343,E,77833,"<£25,000",11,2024-04-11,External Screening
2548,C,309301,"£40,000-£75,000",53,2024-06-21,External Screening
4707,A,1994369,"£150,000+",82,2024-05-14,External Screening
1251,D,219875,"£25,000-£40,000",41,2024-01-18,External Screening
5564,B,481723,"£75,000-£150,000",72,2024-03-05,External Screening
1127,C,277624,"£40,000-£75,000",51,2024-04-16,External Screening
3515,D,173446,"£25,000-£40,000",30,2024-04-18,External Screening
6777,D,248759,"£25,000-£40,000",34,2024-05-04,External Screening
7420,D,222497,"£25,000-£40,000",45,2024-06-08,External Screening
4212,C,283205,"£40,000-£75,000",63,2024-02-20,External Screening
7023,D,163383,"£25,000-£40,000",31,2024-01-28,External Screening
6421,D,237266,"£25,000-£40,000",44,2024-01-05,External Screening
1923,D,161305,"£25,000-£40,000",27,2024-04-27,External Screening
7383,D,233326,"£25,000-£40,000",40,2024-03-18,External Screening
4763,C,259764,"£40,000-£75,000",45,2024-06-04,External Screening
4581,D,158654,"£25,000-£40,000",41,2024-01-19,External Screening
5599,C,380259,"£40,000-£75,000",65,2024-04-21,External Screening
2591,B,535221,"£75,000-£150,000",74,2024-02-12,External Screening
1630,C,313535,"£40,000-£75,000",42,2024-05-07,External Screening
5597,B,780907,"£75,000-£150,000",81,2024-02-25,External Screening
5034,A,1363351,"£150,000+",91,2024-01-28,External Screening
4054,C,273228,"£40,000-£75,000",46,2024-02-18,External Screening
3822,D,161910,"£25,000-£40,000",27,2024-03-08,External Screening
5241,C,394203,"£40,000-£75,000",63,2024-05-08,External Screening
3888,C,276807,"£40,000-£75,000",60,2024-01-14,External Screening
6141,D,159265,"£25,000-£40,000",45,2024-02-01,External Screening
1349,D,231831,"£25,000-£40,000",30,2024-01-08,External Screening
4166,C,282915,"£40,000-£75,000",54,2024-05-01,External Screening
1620,B,610762,"£75,000-£150,000",75,2024-06-04,External Screening
5322,E,57669,"<£25,000",23,2024-02-19,External Screening
2621,C,278659,"£40,000-£75,000",44,2024-06-27,External Screening
4307,D,174954,"£25,000-£40,000",37,2024-04-09,External Screening
4857,D,156184,"£25,000-£40,000",28,2024-02-11,External Screening
6966,D,188880,"£25,000-£40,000",37,2024-01-26,External Screening
5940,C,391890,"£40,000-£75,000",40,2024-03-02,External Screening
3849,A,1366268,"£150,000+",76,2024-01-25,External Screening
3470,C,301713,"£40,000-£75,000",52,2024-03-15,External Screening
2811,B,441891,"£75,000-£150,000",72,2024-01-22,External Screening
4280,C,286432,"£40,000-£75,000",52,2024-02-10,External Screening
7307,C,340535,"£40,000-£75,000",61,2024-05-03,External Screening
2859,D,152441,"£25,000-£40,000",26,2024-01-25,External Screening
1664,C,366636,"£40,000-£75,000",43,2024-04-15,External Screening
7148,C,381116,"£40,000-£75,000",51,2024-06-19,External Screening
2602,B,760021,"£75,000-£150,000",61,2024-05-13,External Screening
1128,E,137137,"<£25,000",23,2024-05-07,External Screening
4061,C,299010,"£40,000-£75,000",51,2024-01-25,External Screening
1766,B,626081,"£75,000-£150,000",83,2024-06-12,External Screening
4395,B,599726,"£75,000-£150,000",82,2024-03-14,External Screening
4713,C,292733,"£40,000-£75,000",40,2024-01-19,External Screening
4694,D,211533,"£25,000-£40,000",28,2024-01-24,External Screening
6065,C,358834,"£40,000-£75,000",64,2024-05-18,External Screening
3090,E,77059,"<£25,000",16,2024-04-11,External Screening
3038,D,234090,"£25,000-£40,000",32,2024-03-28,External Screening
5432,C,312760,"£40,000-£75,000",55,2024-02-10,External Screening
6372,E,129397,"<£25,000",17,2024-04-18,External Screening
1908,E,120222,"<£25,000",14,2024-02-12,External Screening
1638,A,1851102,"£150,000+",77,2024-01-03,External Screening
6262,C,345128,"£40,000-£75,000",56,2024-02-10,External Screening
3929,C,363599,"£40,000-£75,000",46,2024-01-10,External Screening
7422,A,1548112,"£150,000+",78,2024-02-18,External Screening
1182,C,273685,"£40,000-£75,000",42,2024-02-08,External Screening
6128,C,321900,"£40,000-£75,000",43,2024-03-20,External Screening
4988,C,377968,"£40,000-£75,000",59,2024-04-02,External Screening
1139,B,701369,"£75,000-£150,000",82,2024-05-24,External Screening
3857,C,356103,"£40,000-£75,000",47,2024-02-03,External Screening
5482,D,223111,"£25,000-£40,000",34,2024-05-21,External Screening
5299,D,160032,"£25,000-£40,000",39,2024-03-04,External Screening
2987,C,271617,"£40,000-£75,000",53,2024-01-11,External Screening
1963,E,94530,"<£25,000",20,2024-02-18,External Screening
1986,D,204557,"£25,000-£40,000",26,2024-04-25,External Screening
2755,D,153630,"£25,000-£40,000",30,2024-05-09,External Screening
7239,D,192784,"£25,000-£40,000",28,2024-01-08,External Screening
3469,D,167335,"£25,000-£40,000",35,2024-04-09,External Screening
2000,D,173001,"£25,000-£40,000",38,2024-06-04,External Screening
1966,D,245057,"£25,000-£40,000",30,2024-05-03,External Screening
5330,D,155887,"£25,000-£40,000",33,2024-05-05,External Screening
6418,C,264976,"£40,000-£75,000",57,2024-04-24,External Screening
6674,C,270826,"£40,000-£75,000",61,2024-02-07,External Screening
3415,B,792836,"£75,000-£150,000",64,2024-01-10,External Screening
1647,D,224258,"£25,000-£40,000",25,2024-06-25,External Screening
4817,C,264835,"£40,000-£75,000",40,2024-02-25,External Screening
3778,C,314902,"£40,000-£75,000",45,2024-05-04,External Screening
7416,B,600914,"£75,000-£150,000",69,2024-04-20,External Screening
4181,D,188189,"£25,000-£40,000",45,2024-04-26,External Screening
5691,D,161356,"£25,000-£40,000",38,2024-01-16,External Screening
2347,B,499281,"£75,000-£150,000",80,2024-02-07,External Screening
3456,D,248501,"£25,000-£40,000",44,2024-03-01,External Screening
4020,B,537344,"£75,000-£150,000",79,2024-05-16,External Screening
2836,C,328866,"£40,000-£75,000",42,2024-01-26,External Screening
3269,A,1678727,"£150,000+",77,2024-01-05,External Screening
2863,D,157582,"£25,000-£40,000",32,2024-04-06,External Screening
6183,C,387173,"£40,000-£75,000",48,2024-05-25,External Screening
1853,D,181933,"£25,000-£40,000",35,2024-01-21,External Screening
2706,D,238310,"£25,000-£40,000",26,2024-04-27,External Screening
5501,C,378297,"£40,000-£75,000",48,2024-01-02,External Screening
2675,C,264269,"£40,000-£75,000",51,2024-01-01,External Screening
6723,D,227963,"£25,000-£40,000",30,2024-01-25,External Screening
6713,B,752736,"£75,000-£150,000",80,2024-01-20,External Screening
5918,C,319261,"£40,000-£75,000",42,2024-03-16,External Screening
1587,C,374394,"£40,000-£75,000",41,2024-05-13,External Screening
4179,C,318122,"£40,000-£75,000",49,2024-02-04,External Screening
7386,B,475912,"£75,000-£150,000",67,2024-06-17,External Screening
3816,C,335037,"£40,000-£75,000",62,2024-04-22,External Screening
1884,D,185743,"£25,000-£40,000",37,2024-03-01,External Screening
2248,E,61596,"<£25,000",17,2024-01-25,External Screening
5957,A,1298002,"£150,000+",98,2024-06-23,External Screening
7403,B,475620,"£75,000-£150,000",63,2024-01-28,External Screening
6092,E,103829,"<£25,000",13,2024-04-10,External Screening
4294,D,225337,"£25,000-£40,000",42,2024-03-27,External Screening
2823,D,166040,"£25,000-£40,000",33,2024-05-07,External Screening
6699,D,225256,"£25,000-£40,000",32,2024-03-24,External Screening
6656,B,569453,"£75,000-£150,000",80,2024-06-26,External Screening
1586,C,309692,"£40,000-£75,000",49,2024-02-06,External Screening
3562,B,653781,"£75,000-£150,000",72,2024-01-12,External Screening
1326,D,243657,"£25,000-£40,000",42,2024-05-23,External Screening
5331,D,156214,"£25,000-£40,000",45,2024-03-26,External Screening
2523,D,162938,"£25,000-£40,000",32,2024-01-24,External Screening
5244,D,186614,"£25,000-£40,000",39,2024-06-19,External Screening
7424,B,516101,"£75,000-£150,000",68,2024-03-21,External Screening
3307,E,52230,"<£25,000",19,2024-04-15,External Screening
6852,C,338169,"£40,000-£75,000",46,2024-03-07,External Screening
3629,C,251504,"£40,000-£75,000",62,2024-02-07,External Screening
5131,D,152129,"£25,000-£40,000",34,2024-03-14,External Screening
6169,B,475485,"£75,000-£150,000",73,2024-05-02,External Screening
1536,D,204867,"£25,000-£40,000",43,2024-03-24,External Screening
6280,B,540722,"£75,000-£150,000",61,2024-01-19,External Screening
3602,E,119225,"<£25,000",28,2024-02-15,External Screening
1297,A,1980904,"£150,000+",99,2024-02-13,External Screening
4112,D,209818,"£25,000-£40,000",34,2024-05-24,External Screening
6340,C,315034,"£40,000-£75,000",60,2024-04-01,External Screening
6903,B,494959,"£75,000-£150,000",67,2024-01-26,External Screening
1110,C,349101,"£40,000-£75,000",56,2024-04-17,External Screening
2916,B,602578,"£75,000-£150,000",84,2024-01-20,External Screening
2296,A,1227842,"£150,000+",96,2024-02-15,External Screening
2622,C,333038,"£40,000-£75,000",63,2024-05-10,External Screening
5498,D,185119,"£25,000-£40,000",30,2024-04-10,External Screening
2256,D,248814,"£25,000-£40,000",34,2024-01-15,External Screening
2180,C,353022,"£40,000-£75,000",47,2024-03-22,External Screening
5487,A,1495745,"£150,000+",79,2024-04-26,External Screening
3319,D,236900,"£25,000-£40,000",27,2024-02-01,External Screening
6266,C,356015,"£40,000-£75,000",41,2024-06-18,External Screening
5143,C,280399,"£40,000-£75,000",58,2024-02-23,External Screening
5317,C,363679,"£40,000-£75,000",44,2024-02-15,External Screening
2186,C,282413,"£40,000-£75,000",65,2024-06-06,External Screening
2285,C,325252,"£40,000-£75,000",58,2024-03-18,External Screening
6898,D,192299,"£25,000-£40,000",27,2024-04-10,External Screening
2731,E,138791,"<£25,000",17,2024-02-01,External Screening
3274,B,794947,"£75,000-£150,000",63,2024-01-01,External Screening
2018,E,148655,"<£25,000",15,2024-01-09,External Screening
1372,C,349276,"£40,000-£75,000",56,2024-03-01,External Screening
1780,D,242088,"£25,000-£40,000",37,2024-04-27,External Screening
2063,B,670287,"£75,000-£150,000",77,2024-01-22,External Screening
1286,C,358088,"£40,000-£75,000",46,2024-01-16,External Screening
3736,A,1114080,"£150,000+",79,2024-02-07,External Screening
4339,C,349962,"£40,000-£75,000",54,2024-04-15,External Screening
4359,A,1250713,"£150,000+",76,2024-01-16,External Screening
2092,D,159667,"£25,000-£40,000",43,2024-06-21,External Screening
1360,C,307391,"£40,000-£75,000",40,2024-03-14,External Screening
4986,D,200362,"£25,000-£40,000",31,2024-06-20,External Screening
1079,D,179102,"£25,000-£40,000",30,2024-02-20,External Screening
5574,C,298008,"£40,000-£75,000",57,2024-05-01,External Screening
4328,D,190564,"£25,000-£40,000",30,2024-03-14,External Screening
1741,B,711089,"£75,000-£150,000",81,2024-04-26,External Screening
5232,C,346548,"£40,000-£75,000",42,2024-01-05,External Screening
3306,C,253121,"£40,000-£75,000",63,2024-05-24,External Screening
2606,C,347990,"£40,000-£75,000",63,2024-03-01,External Screening
2677,D,200424,"£25,000-£40,000",44,2024-02-23,External Screening
1449,D,227904,"£25,000-£40,000",38,2024-06-19,External Screening
1209,C,359072,"£40,000-£75,000",53,2024-06-05,External Screening
1238,B,508215,"£75,000-£150,000",69,2024-04-11,External Screening
4004,D,150983,"£25,000-£40,000",41,2024-04-20,External Screening
3224,C,315788,"£40,000-£75,000",42,2024-06-24,External Screening
6786,E,71317,"<£25,000",29,2024-02-01,External Screening
5764,B,526292,"£75,000-£150,000",75,2024-04-09,External Screening
2422,C,266206,"£40,000-£75,000",61,2024-01-03,External Screening
4562,B,469465,"£75,000-£150,000",68,2024-04-23,External Screening
1393,B,611158,"£75,000-£150,000",66,2024-02-12,External Screening
4053,C,394008,"£40,000-£75,000",57,2024-06-10,External Screening
6889,E,75131,"<£25,000",13,2024-02-27,External Screening
5251,C,298439,"£40,000-£75,000",53,2024-02-28,External Screening
5926,D,151640,"£25,000-£40,000",31,2024-04-17,External Screening
2428,C,279632,"£40,000-£75,000",52,2024-05-23,External Screening
5381,D,237295,"£25,000-£40,000",36,2024-05-06,External Screening
1295,D,162442,"£25,000-£40,000",35,2024-01-18,External Screening
2467,B,605948,"£75,000-£150,000",83,2024-04-21,External Screening
1852,D,152308,"£25,000-£40,000",32,2024-02-02,External Screening
1218,E,91276,"<£25,000",25,2024-05-06,External Screening
4783,B,688471,"£75,000-£150,000",70,2024-01-18,External Screening
4870,D,166450,"£25,000-£40,000",28,2024-06-20,External Screening
4097,C,332447,"£40,000-£75,000",45,2024-03-22,External Screening
1681,D,167433,"£25,000-£40,000",35,2024-05-06,External Screening
2367,C,345803,"£40,000-£75,000",59,2024-03-17,External Screening
1172,C,355919,"£40,000-£75,000",54,2024-03-28,External Screening
3754,C,288023,"£40,000-£75,000",48,2024-04-20,External Screening
3742,E,119351,"<£25,000",19,2024-04-19,External Screening
6153,E,97671,"<£25,000",16,2024-06-20,External Screening
2262,C,351709,"£40,000-£75,000",41,2024-05-08,External Screening
3383,E,133701,"<£25,000",12,2024-06-13,External Screening
4426,A,1805278,"£150,000+",93,2024-06-24,External Screening
4229,C,362350,"£40,000-£75,000",53,2024-03-23,External Screening
3533,C,322075,"£40,000-£75,000",42,2024-05-18,External Screening
1828,E,111955,"<£25,000",28,2024-02-12,External Screening
4479,C,354999,"£40,000-£75,000",57,2024-05-17,External Screening
4203,B,524136,"£75,000-£150,000",72,2024-01-20,External Screening
2651,C,254233,"£40,000-£75,000",42,2024-04-10,External Screening
4551,B,679575,"£75,000-£150,000",74,2024-01-11,External Screening
5204,A,1862932,"£150,000+",79,2024-04-08,External Screening
6783,E,79416,"<£25,000",30,2024-06-21,External Screening
2491,C,353697,"£40,000-£75,000",50,2024-01-03,External Screening
5379,C,277854,"£40,000-£75,000",52,2024-03-02,External Screening
2359,D,213204,"£25,000-£40,000",33,2024-05-14,External Screening
4607,B,401851,"£75,000-£150,000",81,2024-05-10,External Screening
7099,E,84962,"<£25,000",20,2024-03-02,External Screening
2165,D,185467,"£25,000-£40,000",40,2024-01-05,External Screening
6393,C,379227,"£40,000-£75,000",62,2024-03-26,External Screening
5045,C,279196,"£40,000-£75,000",41,2024-02-13,External Screening
3245,C,276966,"£40,000-£75,000",48,2024-01-20,External Screening
5937,D,221591,"£25,000-£40,000",26,2024-02-05,External Screening
3342,C,366089,"£40,000-£75,000",57,2024-01-11,External Screening
7103,B,474222,"£75,000-£150,000",63,2024-02-12,External Screening
4201,D,186039,"£25,000-£40,000",41,2024-03-27,External Screening
3540,A,1035698,"£150,000+",87,2024-06-16,External Screening
1968,B,747601,"£75,000-£150,000",66,2024-06-07,External Screening
1528,C,308748,"£40,000-£75,000",65,2024-02-27,External Screening
3807,C,323729,"£40,000-£75,000",44,2024-01-09,External Screening
2693,C,313490,"£40,000-£75,000",65,2024-04-04,External Screening
6790,C,316532,"£40,000-£75,000",47,2024-04-14,External Screening
3300,D,184659,"£25,000-£40,000",42,2024-05-08,External Screening
2481,C,360426,"£40,000-£75,000",47,2024-05-17,External Screening
5983,D,205924,"£25,000-£40,000",40,2024-01-03,External Screening
4121,C,269588,"£40,000-£75,000",59,2024-02-22,External Screening
2340,D,248515,"£25,000-£40,000",31,2024-04-24,External Screening
4998,A,1598333,"£150,000+",88,2024-05-02,External Screening
1640,C,329171,"£40,000-£75,000",43,2024-01-20,External Screening
1090,B,571312,"£75,000-£150,000",85,2024-03-22,External Screening
3293,C,252090,"£40,000-£75,000",53,2024-06-09,External Screening
3560,B,716586,"£75,000-£150,000",84,2024-03-21,External Screening
3810,D,158484,"£25,000-£40,000",36,2024-02-03,External Screening
6870,C,335968,"£40,000-£75,000",59,2024-02-23,External Screening
6710,D,212598,"£25,000-£40,000",27,2024-04-17,External Screening
1614,D,232074,"£25,000-£40,000",44,2024-01-09,External Screening
3752,B,705111,"£75,000-£150,000",68,2024-01-06,External Screening
1502,C,384473,"£40,000-£75,000",43,2024-02-03,External Screening
2796,B,547155,"£75,000-£150,000",81,2024-04-27,External Screening
6820,C,308974,"£40,000-£75,000",47,2024-05-03,External Screening
6253,D,151364,"£25,000-£40,000",43,2024-01-06,External Screening
6080,C,311644,"£40,000-£75,000",50,2024-05-13,External Screening
4170,D,193409,"£25,000-£40,000",35,2024-01-02,External Screening
6059,C,271922,"£40,000-£75,000",61,2024-02-07,External Screening
4089,C,254003,"£40,000-£75,000",40,2024-04-09,External Screening
7382,E,126912,"<£25,000",14,2024-02-12,External Screening
7183,D,237490,"£25,000-£40,000",38,2024-03-25,External Screening
2830,D,166090,"£25,000-£40,000",44,2024-06-16,External Screening
3365,D,213670,"£25,000-£40,000",40,2024-06-20,External Screening
6221,C,307532,"£40,000-£75,000",48,2024-01-06,External Screening
1564,E,116749,"<£25,000",26,2024-06-14,External Screening
4523,C,371976,"£40,000-£75,000",62,2024-03-17,External Screening
4832,C,339285,"£40,000-£75,000",57,2024-02-20,External Screening
7457,A,1683889,"£150,000+",88,2024-01-12,External Screening
5930,C,347808,"£40,000-£75,000",60,2024-02-10,External Screening
6045,B,663415,"£75,000-£150,000",62,2024-03-11,External Screening
2653,A,1065909,"£150,000+",90,2024-06-04,External Screening
4525,C,285365,"£40,000-£75,000",46,2024-06-08,External Screening
3569,C,258661,"£40,000-£75,000",62,2024-02-27,External Screening
3444,D,156189,"£25,000-£40,000",44,2024-06-02,External Screening
5290,C,294409,"£40,000-£75,000",40,2024-01-16,External Screening
2533,C,260547,"£40,000-£75,000",44,2024-04-12,External Screening
3797,A,980783,"£150,000+",86,2024-06-28,External Screening
6136,D,237493,"£25,000-£40,000",34,2024-02-28,External Screening
5182,E,56853,"<£25,000",21,2024-04-05,External Screening
5792,C,336579,"£40,000-£75,000",59,2024-02-18,External Screening
6563,B,593806,"£75,000-£150,000",67,2024-01-23,External Screening
4951,C,268076,"£40,000-£75,000",60,2024-03-19,External Screening
3761,D,178731,"£25,000-£40,000",40,2024-02-11,External Screening
4756,C,256728,"£40,000-£75,000",48,2024-04-11,External Screening
2934,B,774323,"£75,000-£150,000",72,2024-05-05,External Screening
5500,D,189940,"£25,000-£40,000",37,2024-04-23,External Screening
2384,B,697944,"£75,000-£150,000",74,2024-06-28,External Screening
1971,C,283401,"£40,000-£75,000",56,2024-01-22,External Screening
1634,E,108157,"<£25,000",26,2024-05-21,External Screening
6707,D,151727,"£25,000-£40,000",35,2024-03-07,External Screening
6780,C,304978,"£40,000-£75,000",50,2024-01-19,External Screening
5276,A,1768014,"£150,000+",85,2024-06-21,External Screening
5968,D,174518,"£25,000-£40,000",28,2024-06-09,External Screening
6876,C,399273,"£40,000-£75,000",58,2024-01-12,External Screening
7150,D,156013,"£25,000-£40,000",36,2024-02-20,External Screening
4138,E,76630,"<£25,000",17,2024-04-08,External Screening
5239,A,880284,"£150,000+",94,2024-01-01,External Screening
3329,C,319502,"£40,000-£75,000",55,2024-03-06,External Screening
5932,D,228976,"£25,000-£40,000",32,2024-02-17,External Screening
3066,D,231407,"£25,000-£40,000",36,2024-06-18,External Screening
4335,D,241151,"£25,000-£40,000",32,2024-04-17,External Screening
4520,C,366884,"£40,000-£75,000",48,2024-05-19,External Screening
5647,C,347828,"£40,000-£75,000",40,2024-03-06,External Screening
1096,B,752267,"£75,000-£150,000",62,2024-06-01,External Screening
3228,E,118562,"<£25,000",19,2024-04-07,External Screening
3489,A,1512153,"£150,000+",92,2024-02-08,External Screening
6161,D,177097,"£25,000-£40,000",35,2024-01-12,External Screening
1703,C,336429,"£40,000-£75,000",58,2024-02-19,External Screening
5012,B,486386,"£75,000-£150,000",73,2024-02-24,External Screening
3333,C,340454,"£40,000-£75,000",41,2024-03-15,External Screening
5250,B,727908,"£75,000-£150,000",80,2024-01-17,External Screening
6669,B,423368,"£75,000-£150,000",71,2024-06-18,External Screening
1161,C,260731,"£40,000-£75,000",50,2024-06-23,External Screening
3774,C,332968,"£40,000-£75,000",41,2024-01-06,External Screening
6185,C,331845,"£40,000-£75,000",45,2024-05-04,External Screening
7134,C,269892,"£40,000-£75,000",59,2024-01-01,External Screening
6608,D,202730,"£25,000-£40,000",35,2024-06-27,External Screening
3582,C,352776,"£40,000-£75,000",63,2024-05-28,External Screening
2913,A,980850,"£150,000+",83,2024-03-23,External Screening
4883,E,118553,"<£25,000",16,2024-01-14,External Screening
6485,E,56995,"<£25,000",11,2024-02-27,External Screening
4399,C,287882,"£40,000-£75,000",46,2024-01-17,External Screening
7001,C,381196,"£40,000-£75,000",63,2024-05-17,External Screening
2008,C,397520,"£40,000-£75,000",52,2024-03-10,External Screening
2521,B,555872,"£75,000-£150,000",84,2024-01-15,External Screening
5109,B,650310,"£75,000-£150,000",78,2024-04-09,External Screening
1302,C,378499,"£40,000-£75,000",52,2024-06-24,External Screening
4296,D,231366,"£25,000-£40,000",43,2024-04-02,External Screening
7261,D,171459,"£25,000-£40,000",29,2024-04-08,External Screening
1767,D,178047,"£25,000-£40,000",25,2024-02-16,External Screening
5963,C,264472,"£40,000-£75,000",54,2024-05-18,External Screening
5652,D,230768,"£25,000-£40,000",27,2024-02-24,External Screening
1249,C,327708,"£40,000-£75,000",43,2024-04-19,External Screening
2627,C,272654,"£40,000-£75,000",49,2024-03-18,External Screening
7081,A,908833,"£150,000+",85,2024-01-01,External Screening
1531,D,155658,"£25,000-£40,000",31,2024-05-01,External Screening
6156,C,382402,"£40,000-£75,000",42,2024-01-21,External Screening
5965,D,213450,"£25,000-£40,000",33,2024-02-01,External Screening
5729,B,797503,"£75,000-£150,000",61,2024-03-13,External Screening
3272,C,339445,"£40,000-£75,000",52,2024-04-22,External Screening
4750,C,360898,"£40,000-£75,000",62,2024-02-13,External Screening
1078,A,1528580,"£150,000+",88,2024-03-15,External Screening
3941,D,196877,"£25,000-£40,000",28,2024-04-24,External Screening
2164,C,368556,"£40,000-£75,000",52,2024-03-26,External Screening
6019,E,135586,"<£25,000",18,2024-04-28,External Screening
4788,D,233338,"£25,000-£40,000",44,2024-02-13,External Screening
6627,D,232563,"£25,000-£40,000",31,2024-01-28,External Screening
6180,C,348677,"£40,000-£75,000",53,2024-02-09,External Screening
5669,C,265146,"£40,000-£75,000",65,2024-02-11,External Screening
4198,A,1265428,"£150,000+",80,2024-03-09,External Screening
4304,C,397101,"£40,000-£75,000",56,2024-01-13,External Screening
6439,D,183093,"£25,000-£40,000",37,2024-03-26,External Screening
3723,D,218452,"£25,000-£40,000",26,2024-02-27,External Screening
6133,B,779652,"£75,000-£150,000",69,2024-04-11,External Screening
7487,B,425637,"£75,000-£150,000",76,2024-02-19,External Screening
1573,D,228586,"£25,000-£40,000",38,2024-02-06,External Screening
7392,D,223730,"£25,000-£40,000",41,2024-03-08,External Screening
3124,D,159134,"£25,000-£40,000",45,2024-04-01,External Screening
5959,D,157227,"£25,000-£40,000",36,2024-04-19,External Screening
3035,A,1096175,"£150,000+",99,2024-04-26,External Screening
5014,C,273236,"£40,000-£75,000",54,2024-03-16,External Screening
3152,D,182606,"£25,000-£40,000",42,2024-03-13,External Screening
4987,B,417429,"£75,000-£150,000",72,2024-03-14,External Screening
5895,D,181662,"£25,000-£40,000",42,2024-03-07,External Screening
7469,B,762654,"£75,000-£150,000",62,2024-03-26,External Screening
6314,C,383618,"£40,000-£75,000",62,2024-01-15,External Screening
1074,D,210004,"£25,000-£40,000",43,2024-06-04,External Screening
7374,B,478458,"£75,000-£150,000",80,2024-04-21,External Screening
4471,C,302880,"£40,000-£75,000",55,2024-03-18,External Screening
1637,C,339100,"£40,000-£75,000",48,2024-04-22,External Screening
5644,C,256089,"£40,000-£75,000",61,2024-02-15,External Screening
6693,E,61745,"<£25,000",11,2024-01-07,External Screening
2776,D,163277,"£25,000-£40,000",31,2024-03-10,External Screening
6953,C,309648,"£40,000-£75,000",60,2024-01-15,External Screening
5368,A,1864120,"£150,000+",81,2024-05-16,External Screening
3730,C,349287,"£40,000-£75,000",63,2024-06-01,External Screening
4051,C,338321,"£40,000-£75,000",56,2024-03-19,External Screening
6351,B,566572,"£75,000-£150,000",60,2024-05-03,External Screening
7192,D,214925,"£25,000-£40,000",29,2024-03-28,External Screening
4272,B,726595,"£75,000-£150,000",61,2024-05-28,External Screening
4330,E,59573,"<£25,000",26,2024-06-02,External Screening
3355,B,592754,"£75,000-£150,000",63,2024-04-03,External Screening
6362,E,148064,"<£25,000",30,2024-01-27,External Screening
2845,C,363413,"£40,000-£75,000",42,2024-06-22,External Screening
3322,D,212841,"£25,000-£40,000",41,2024-04-28,External Screening
5099,C,336802,"£40,000-£75,000",40,2024-04-27,External Screening
3023,C,388034,"£40,000-£75,000",59,2024-01-27,External Screening
6215,C,350534,"£40,000-£75,000",56,2024-02-19,External Screening
4937,D,158452,"£25,000-£40,000",43,2024-05-19,External Screening
2744,D,167165,"£25,000-£40,000",27,2024-06-26,External Screening
1335,A,1678238,"£150,000+",76,2024-02-12,External Screening
1018,A,1356603,"£150,000+",84,2024-02-16,External Screening
2876,B,674697,"£75,000-£150,000",80,2024-06-21,External Screening
6828,C,312398,"£40,000-£75,000",44,2024-02-03,External Screening
3118,D,239418,"£25,000-£40,000",43,2024-02-21,External Screening
3019,C,343041,"£40,000-£75,000",65,2024-01-14,External Screening
3483,D,204721,"£25,000-£40,000",29,2024-04-16,External Screening
3796,B,439314,"£75,000-£150,000",69,2024-06-05,External Screening
5374,B,658901,"£75,000-£150,000",70,2024-04-04,External Screening
4966,B,547790,"£75,000-£150,000",68,2024-04-09,External Screening
4019,C,360972,"£40,000-£75,000",47,2024-01-23,External Screening
2807,E,145121,"<£25,000",25,2024-06-03,External Screening
6165,C,367266,"£40,000-£75,000",53,2024-05-07,External Screening
4528,C,380299,"£40,000-£75,000",64,2024-04-02,External Screening
2222,C,367600,"£40,000-£75,000",58,2024-03-15,External Screening
3664,E,58019,"<£25,000",19,2024-04-10,External Screening
3750,D,242300,"£25,000-£40,000",28,2024-03-09,External Screening
3121,C,391833,"£40,000-£75,000",55,2024-06-06,External Screening
4981,E,109981,"<£25,000",25,2024-05-20,External Screening
5783,A,1997533,"£150,000+",75,2024-03-16,External Screening
4978,D,213109,"£25,000-£40,000",31,2024-06-04,External Screening
2071,E,106227,"<£25,000",12,2024-02-20,External Screening
1941,C,382888,"£40,000-£75,000",61,2024-04-12,External Screening
1821,E,110745,"<£25,000",16,2024-05-11,External Screening
5604,D,189897,"£25,000-£40,000",39,2024-05-25,External Screening
3004,B,408252,"£75,000-£150,000",62,2024-02-04,External Screening
